页数,序号,标题,挂牌价格,单价,几室,面积,朝向,装修,楼层,年代,楼型,满几,发布时间,关注人数,url
1,12,首开国风美唐朗观 精装修三居 满五年 近地铁,680,"73,938元/平",3室1厅,91.97平米,南 北,精装,中楼层(共20层),2015年建,板楼,满五年,3个月以前发布,87人关注,https://bj.lianjia.com/ershoufang/101112480797.html
1,13,美唐二期 精装电梯三居 商品房楼栋 满五唯一,680,"73,938元/平",3室1厅,91.97平米,南 北,精装,高楼层(共20层),2015年建,板楼,满五年,2个月以前发布,81人关注,https://bj.lianjia.com/ershoufang/101112644315.html
1,14,首开国风美唐一期南北通透，楼层好，视野宽阔采光充足,660,"71,576元/平",2室1厅,92.21平米,南 北,精装,中楼层(共11层),2012年建,板楼,满五年,1个月以前发布,114人关注,https://bj.lianjia.com/ershoufang/101113066542.html
1,15,首开国风美唐二期 满五唯一 东向电梯两居室,560,"68,477元/平",2室1厅,81.78平米,东,精装,低楼层(共21层),2014年建,板楼,满五年,16天以前发布,14人关注,https://bj.lianjia.com/ershoufang/101113350149.html
1,16,首开国风美唐二期  中间位置中间楼层 位置好,728,"75,684元/平",2室1厅,96.19平米,南 北,简装,中楼层(共16层),2015年建,板楼,满五年,31天以前发布,19人关注,https://bj.lianjia.com/ershoufang/101113196514.html
1,17,首开国风美唐二期 2室1厅 东南,630,"74,902元/平",2室1厅,84.11平米,东南,精装,底层(共20层),2015年建,板楼,满五年,17天以前发布,6人关注,https://bj.lianjia.com/ershoufang/101113340681.html
1,18,东南北一居视野采光好，电梯房集中供暖，看房方便,450,"73,518元/平",1室1厅,61.21平米,东南,简装,顶层(共18层),2015年建,板楼,满五年,16天以前发布,12人关注,https://bj.lianjia.com/ershoufang/101113349257.html
1,19,2014年商品房社区 电梯房集中供暖 东向两居采光好,595,"72,000元/平",2室1厅,82.64平米,东,简装,中楼层(共21层),2015年建,板楼,满五年,15天以前发布,11人关注,https://bj.lianjia.com/ershoufang/101113356605.html
1,20,首开国风美唐二期  电梯好楼层 采光视野好 诚心卖,435,"71,913元/平",1室1厅,60.49平米,东,简装,中楼层(共18层),2015年建,板楼,满五年,16天以前发布,10人关注,https://bj.lianjia.com/ershoufang/101113350089.html
1,21,美唐二期南北两居，电梯房集中供暖，中高层采光好,650,"68,314元/平",2室1厅,95.15平米,南 北,简装,中楼层(共18层),2014年建,板楼,满五年,12天以前发布,16人关注,https://bj.lianjia.com/ershoufang/101113387824.html
1,22,首开国风美唐三期 南北通透 全明格局  高楼层 视野好,625,"69,376元/平",3室1厅,90.09平米,南 北,简装,顶层(共21层),2016年建,板楼,满两年,5个月以前发布,151人关注,https://bj.lianjia.com/ershoufang/101111512844.html
1,23,美唐花园+商品房+人车分流+电梯三居,679,"75,816元/平",3室1厅,89.56平米,南 北,精装,高楼层(共20层),2016年建,板楼,满两年,2个月以前发布,46人关注,https://bj.lianjia.com/ershoufang/101112579567.html
1,24,首开国风美唐二期 四居两卫 带电梯精装修 采光好,1000,"70,607元/平",4室1厅,141.63平米,南 北,精装,低楼层(共9层),2015年建,板塔结合,满两年,1个月以前发布,11人关注,https://bj.lianjia.com/ershoufang/101113121263.html
1,25,精装修四居 小区中间位置 随时看房 随时签约 近地铁,1150,"81,319元/平",4室2厅,141.42平米,南 北,精装,高楼层(共9层),2015年建,板楼,满五年,1个月以前发布,29人关注,https://bj.lianjia.com/ershoufang/101112902322.html
1,26,首开国风美唐二期  南北两居室  业主诚心出售,575,"75,440元/平",2室1厅,76.22平米,南 北,精装,中楼层(共18层),2015年建,板楼,满五年,22天以前发布,36人关注,https://bj.lianjia.com/ershoufang/101113291430.html
1,27,首开国风美唐三期，南向2居，自住精装修,638,"69,063元/平",2室1厅,92.38平米,南,精装,低楼层(共21层),2016年建,板楼,满两年,3个月以前发布,103人关注,https://bj.lianjia.com/ershoufang/101112489782.html
1,28,西南向两居 随时看 视野无遮挡 采光好 临近地铁,610,"73,770元/平",2室1厅,82.69平米,西南,简装,中楼层(共18层),2015年建,板楼,满两年,2个月以前发布,63人关注,https://bj.lianjia.com/ershoufang/101112795495.html
1,29,首开国风美唐三期，高品质社区，适合刚需和换房群体,656,"68,684元/平",2室1厅,95.51平米,南 北,简装,低楼层(共18层),2016年建,板楼,满两年,2个月以前发布,51人关注,https://bj.lianjia.com/ershoufang/101112508855.html
1,30,2016年高品质商品房社区，通透三居,680,"75,783元/平",3室1厅,89.73平米,南 北,简装,中楼层(共21层),2016年建,板楼,满两年,6个月以前发布,56人关注,https://bj.lianjia.com/ershoufang/101111260801.html
2,31,首开国风美唐三期，127平大3居，自主精装修，视野好,930,"72,862元/平",3室1厅,127.64平米,南 北,精装,顶层(共18层),2016年建,板楼,满两年,7个月以前发布,70人关注,https://bj.lianjia.com/ershoufang/101110877122.html
2,32,美唐二期 高层精装电梯三居 诚心出售！,640,"70,076元/平",3室1厅,91.33平米,南 北,精装,顶层(共19层),2015年建,板楼,满五年,6个月以前发布,120人关注,https://bj.lianjia.com/ershoufang/101111218735.html
2,33,首开国风美唐二期，视野好，南北通透三居,695,"73,020元/平",3室1厅,95.18平米,南 北,简装,中楼层(共16层),2015年建,板楼,满五年,3个月以前发布,57人关注,https://bj.lianjia.com/ershoufang/101112283350.html
2,34,美唐二期 电梯三居  车位充足,650,"68,220元/平",3室1厅,95.28平米,南 北,简装,底层(共20层),2015年建,板楼,满两年,7个月以前发布,114人关注,https://bj.lianjia.com/ershoufang/101110941065.html
2,35,首开国风美唐二期  精致装修 温馨舒适,1050,"74,137元/平",4室1厅,141.63平米,南 北,精装,底层(共9层),2015年建,板塔结合,满五年,1个月以前发布,14人关注,https://bj.lianjia.com/ershoufang/101112911698.html
2,36,美唐二期 经典四居 自住精装修 电梯集中供暖,1050,"74,116元/平",4室1厅,141.67平米,南 北,精装,高楼层(共9层),2014年建,板塔结合,满五年,1个月以前发布,32人关注,https://bj.lianjia.com/ershoufang/101113059651.html
2,37,首开国风美唐二期南北通透三居室,685,"74,481元/平",3室1厅,91.97平米,南 北,精装,中楼层(共20层),2015年建,板楼,满两年,3个月以前发布,33人关注,https://bj.lianjia.com/ershoufang/101112424044.html
2,38,首开国风美唐三期 南向两居 中间位置 居住安静,620,"70,906元/平",2室1厅,87.44平米,南,简装,底层(共18层),2016年建,板楼,满两年,5个月以前发布,64人关注,https://bj.lianjia.com/ershoufang/101111491708.html
2,39,国风美唐三期  视野好  商满二 诚心出售,670,"70,150元/平",2室1厅,95.51平米,南 北,精装,中楼层(共18层),2016年建,板楼,满两年,4个月以前发布,68人关注,https://bj.lianjia.com/ershoufang/101111834800.html
2,40,首开国风美唐三期 高楼层 采光和视野好 诚心出售,645,"73,765元/平",2室1厅,87.44平米,南,精装,高楼层(共18层),2016年建,板楼,满两年,5个月以前发布,151人关注,https://bj.lianjia.com/ershoufang/101111524163.html
2,41,首开国风美唐三期 精装两居 全南无遮挡 高楼层视野好,690,"74,692元/平",2室1厅,92.38平米,南,精装,高楼层(共20层),2016年建,板楼,满两年,2个月以前发布,21人关注,https://bj.lianjia.com/ershoufang/101112594721.html
2,42,西南向两居室，采光视野良好，全天无遮挡,670,"80,772元/平",2室1厅,82.95平米,西南,精装,高楼层(共15层),2015年建,板楼,满五年,一年前发布,801人关注,https://bj.lianjia.com/ershoufang/101105605556.html
2,43,首开国风美唐 带电梯高层 商品房满五年唯一自住精装修,580,"72,140元/平",2室1厅,80.4平米,东 西,精装,高楼层(共21层),2014年建,板楼,满五年,1个月以前发布,25人关注,https://bj.lianjia.com/ershoufang/101113035273.html
2,44,房子是商满五唯一，首开国风美唐二期,640,"73,912元/平",2室1厅,86.59平米,南,精装,低楼层(共18层),2015年建,板楼,满五年,1个月以前发布,31人关注,https://bj.lianjia.com/ershoufang/101113097142.html
2,45,首开国风美唐朗观精装修南向阳光二居室出售,750,"80,317元/平",2室1厅,93.38平米,南,精装,高楼层(共19层),2015年建,板楼,满五年,1个月以前发布,25人关注,https://bj.lianjia.com/ershoufang/101113043207.html
2,46,首开国风美唐二期 精致装修 温馨舒适,550,"72,974元/平",2室1厅,75.37平米,南,精装,底层(共18层),2015年建,板楼,,16天以前发布,15人关注,https://bj.lianjia.com/ershoufang/101113355551.html
2,47,首开国风美唐二期 电梯两居室 近地铁,662,"72,319元/平",2室1厅,91.54平米,南,精装,顶层(共16层),2014年建,板楼,满五年,5个月以前发布,62人关注,https://bj.lianjia.com/ershoufang/101111704355.html
2,48,国风美唐二期 明卫 不临街  采光无遮挡 视野好,685,"71,992元/平",2室1厅,95.15平米,南 北,精装,顶层(共18层),2015年建,板楼,满五年,1个月以前发布,20人关注,https://bj.lianjia.com/ershoufang/101113145459.html
2,49,首开国风美唐三期，大2居，南北通透，看房方便,660,"69,103元/平",2室1厅,95.51平米,南 北,精装,低楼层(共18层),2016年建,板楼,满两年,5个月以前发布,63人关注,https://bj.lianjia.com/ershoufang/101111771912.html
2,50,首开国风美唐三期，南北通透大两居,656,"68,684元/平",2室1厅,95.51平米,南 北,精装,中楼层(共18层),2016年建,板楼,满两年,1个月以前发布,7人关注,https://bj.lianjia.com/ershoufang/101112978465.html
2,51,首开国风美唐二期 带电梯 中楼层 户型方正 诚心出售,560,"69,145元/平",2室1厅,80.99平米,东 西 北,简装,中楼层(共21层),2015年建,板楼,满五年,4个月以前发布,91人关注,https://bj.lianjia.com/ershoufang/101111934640.html
2,52,首开国风美唐三期南北2居，明厨明卫，中间楼层,670,"69,712元/平",2室1厅,96.11平米,南 北,毛坯,中楼层(共18层),2016年建,板楼,,1个月以前发布,48人关注,https://bj.lianjia.com/ershoufang/101113089417.html
2,53,首开国风美唐三期 2室1厅 北 南,680,"71,197元/平",2室1厅,95.51平米,北 南,精装,高楼层(共18层),2016年建,板楼,满两年,5天以前发布,6人关注,https://bj.lianjia.com/ershoufang/101113461971.html
2,54,首开国风美唐三期，3居2卫，小区中间位置,960,"75,377元/平",3室2厅,127.36平米,南 北,精装,中楼层(共18层),2016年建,板楼,满两年,一年前发布,368人关注,https://bj.lianjia.com/ershoufang/101105542746.html
2,55,首开国风美唐三期 商品房 客厅带东窗 明卫 大三居,899,"70,433元/平",3室1厅,127.64平米,南 北,简装,低楼层(共18层),2016年建,板楼,满两年,16天以前发布,15人关注,https://bj.lianjia.com/ershoufang/101113348920.html
2,56,首开国风美唐朗观 户型方正  东向一居,475,"78,526元/平",1室1厅,60.49平米,东,精装,低楼层(共18层),2015年建,板楼,满五年,16天以前发布,7人关注,https://bj.lianjia.com/ershoufang/101113349579.html
2,57,首开国风美唐三期 2016年新房 采光好 交通便利,700,"75,774元/平",2室1厅,92.38平米,南,精装,底层(共20层),2016年建,板楼,满两年,3天以前发布,2人关注,https://bj.lianjia.com/ershoufang/101113480119.html
2,58,首开国风美唐二期 1室1厅 东 南 西,432,"70,108元/平",1室1厅,61.62平米,东 南 西,简装,中楼层(共18层),2014年建,板楼,满五年,刚刚发布,2人关注,https://bj.lianjia.com/ershoufang/101113507743.html
2,59,首开国风美唐三期 1室0厅 南,24,"6,473元/平",,,,,,,,满两年,一年前发布,0人关注,https://bj.lianjia.com/ershoufang/101109154681.html
2,60,此房是地下一层车位，大产权50年,23,"6,203元/平",,,,,,,,满两年,一年前发布,3人关注,https://bj.lianjia.com/ershoufang/101106154828.html
3,61,15号楼下的车位，有房本有房本有房本,18,"5,284元/平",,,,,,,,满两年,一年前发布,1人关注,https://bj.lianjia.com/ershoufang/101106719571.html
3,62,首开国风美唐二期 5号楼楼下车位 电梯入户,19.8,"5,138元/平",,,,,,,,满两年,一年前发布,2人关注,https://bj.lianjia.com/ershoufang/101108126455.html
3,63,2号楼正楼下车位！有房本随时签约！,17.5,"5,137元/平",,,,,,,,满两年,一年前发布,2人关注,https://bj.lianjia.com/ershoufang/101108377160.html
3,64,首开国风美唐二期 地下产权车位,20,"5,871元/平",,,,,,,,满两年,一年前发布,1人关注,https://bj.lianjia.com/ershoufang/101108936321.html
3,65,50年产权车位，诚心出售，欢迎咨询,32,"9,841元/平",,,,,,,,满两年,一年前发布,2人关注,https://bj.lianjia.com/ershoufang/101108428574.html
3,66,首开国风美唐二期 1室0厅 南,20,"5,871元/平",,,,,,,,满两年,11个月以前发布,1人关注,https://bj.lianjia.com/ershoufang/101109808738.html
3,67,首开国风美唐二期 地下产权车位 14号楼下 有充电桩,19.5,"5,724元/平",,,,,,,,满两年,7个月以前发布,2人关注,https://bj.lianjia.com/ershoufang/101110647307.html
3,68,首开国风美唐三期地下车位，位置好,25,"7,688元/平",,,,,,,,满两年,5个月以前发布,1人关注,https://bj.lianjia.com/ershoufang/101111544693.html
3,69,首开国风美唐二期 地下车位 5号楼9号楼中间,18.5,"4,801元/平",,,,,,,,满两年,一年前发布,1人关注,https://bj.lianjia.com/ershoufang/101103938881.html
3,70,首开国风美唐二期 电梯入户，产权车位,19.5,"5,724元/平",,,,,,,,满两年,一年前发布,2人关注,https://bj.lianjia.com/ershoufang/101105056658.html
3,71,地下一层，产权车位，原始户型，看房随时,23,"5,968元/平",,,,,,,,满两年,一年前发布,0人关注,https://bj.lianjia.com/ershoufang/101104922278.html
3,72,首开国风美唐三期 车位 靠谱出售 随时签约,24.6,"7,565元/平",,,,,,,,满两年,9个月以前发布,1人关注,https://bj.lianjia.com/ershoufang/101110411324.html
3,73,产权车位 诚心出售，随时可以签约,31,"7,815元/平",,,,,,,,满五年,9个月以前发布,1人关注,https://bj.lianjia.com/ershoufang/101110318106.html
3,74,1842车位，小区业主可以买，有房本，50年产权！,26,"7,632元/平",,,,,,,,满两年,7个月以前发布,0人关注,https://bj.lianjia.com/ershoufang/101110694826.html
3,75,邻城铁回龙观东大街  随时可看,21,"6,164元/平",,,,,,,,满两年,一年前发布,0人关注,https://bj.lianjia.com/ershoufang/101108708714.html
3,76,美唐二期产权车位，地下一层，诚心出售！,21,"6,164元/平",,,,,,,,满两年,10个月以前发布,0人关注,https://bj.lianjia.com/ershoufang/101109965271.html
3,77,美唐一期地下车位  产权车位 诚心出售,30,"7,630元/平",,,,,,,,满五年,2个月以前发布,0人关注,https://bj.lianjia.com/ershoufang/101112807863.html
3,78,首开国风美唐二期 1室0厅 南,21,"6,164元/平",,,,,,,,满两年,10个月以前发布,0人关注,https://bj.lianjia.com/ershoufang/101110149892.html
3,79,首开国风美唐一期 产权车位 可以随时看 随时签约,31,"7,815元/平",,,,,,,,满五年,8个月以前发布,3人关注,https://bj.lianjia.com/ershoufang/101110573446.html
3,80,首开国风美唐二期车位，看房方便,19,"5,577元/平",,,,,,,,满两年,6个月以前发布,0人关注,https://bj.lianjia.com/ershoufang/101111099100.html
3,81,已安装充电桩！位置好！有产权！,21,"6,164元/平",,,,,,,,满两年,一年前发布,2人关注,https://bj.lianjia.com/ershoufang/101105877325.html
3,82,产权车位！离2号楼14号楼都近！随时可看可签！,18,"5,284元/平",,,,,,,,满两年,一年前发布,3人关注,https://bj.lianjia.com/ershoufang/101107305874.html
3,83,首开国风美唐二期 随时可看 价格可以商量,18,"5,284元/平",,,,,,,,满两年,一年前发布,1人关注,https://bj.lianjia.com/ershoufang/101108641345.html
3,84,1号楼楼下车位，诚心出售。50年产权,18.5,"5,430元/平",,,,,,,,满两年,一年前发布,2人关注,https://bj.lianjia.com/ershoufang/101105976830.html
3,85,独立产权车位 可按充电桩 电梯直接入户,12.5,"3,669元/平",,,,,,,,满两年,一年前发布,0人关注,https://bj.lianjia.com/ershoufang/101106075840.html
3,86,2号楼楼下第一排，位置好，车位一个,19.1,"5,607元/平",,,,,,,,满两年,一年前发布,0人关注,https://bj.lianjia.com/ershoufang/101109612735.html
3,87,近地铁 方便进出 位于14.15.16.23号楼中间,19.5,"5,724元/平",,,,,,,,满两年,一年前发布,0人关注,https://bj.lianjia.com/ershoufang/101108389513.html
3,88,首开国风美唐二期 靠近小区地库的出入口 位置好,20,"5,871元/平",,,,,,,,满两年,10个月以前发布,1人关注,https://bj.lianjia.com/ershoufang/101109992169.html
3,89,电梯入户  车位在5号楼、9号楼比较近。,20,"5,190元/平",,,,,,,,满两年,一年前发布,3人关注,https://bj.lianjia.com/ershoufang/101108032027.html
3,90,位置好，业主靠谱出售，电梯直达,22,"6,458元/平",,,,,,,,满两年,一年前发布,1人关注,https://bj.lianjia.com/ershoufang/101109399029.html
